State,Total/Rural/Urban,City,Mode of travel,Persons Total,Male Total,Female Total,Persons No travel,Male No travel,Female No travel,Persons 0-1,Male 0-1,Female 0-1,Persons 2-5,Male 2-5,Female 2-5,Persons 6-10,Male 6-10,Female 6-10,Persons 11-20,Male 11-20,Female 11-20,Persons 21-30,Male 21-30,Female 21-30,Persons 31-50,Male 31-50,Female 31-50,Persons 51+,Male 51+,Female 51+,Persons Distance not stated,Male Distance not stated,Female Distance not stated,Latitude,Longitude
ANDAMAN & NICOBAR ISLANDS,Total,North  & Middle Andaman,All Modes,25677,20487,5190,3844,2818,1026,7344,5608,1736,7232,5907,1325,3989,3255,734,2002,1794,208,575,496,79,370,319,51,294,266,28,27,24,3,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Total,North  & Middle Andaman,On foot,9855,7517,2338,0,0,0,6014,4528,1486,3069,2396,673,772,593,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Total,North  & Middle Andaman,Bicycle,1533,1489,44,0,0,0,196,187,9,997,979,18,256,241,15,44,42,2,40,40,0,0,0,0,0,0,0,0,0,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Total,North  & Middle Andaman,Moped/Scooter/Motor Cycle,2588,2328,260,0,0,0,712,609,103,995,876,119,455,430,25,273,267,6,68,66,2,41,40,1,33,30,3,11,10,1,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Total,North  & Middle Andaman,Car/Jeep/Van,1124,789,335,0,0,0,159,109,50,392,257,135,330,230,100,150,113,37,24,20,4,36,29,7,31,29,2,2,2,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Total,North  & Middle Andaman,Tempo/Autorickshaw/Taxi,671,454,217,0,0,0,111,57,54,373,249,124,108,81,27,40,34,6,14,13,1,12,9,3,12,10,2,1,1,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Total,North  & Middle Andaman,Bus,4608,3671,937,0,0,0,112,81,31,1202,953,249,1677,1299,378,997,843,154,276,207,69,175,139,36,158,139,19,11,10,1,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Total,North  & Middle Andaman,Train,16,15,1,0,0,0,3,3,0,5,5,0,4,4,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Total,North  & Middle Andaman,Water transport,1315,1293,22,0,0,0,34,33,1,166,163,3,343,337,6,468,465,3,144,141,3,103,99,4,56,54,2,1,1,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Total,North  & Middle Andaman,Any other,123,113,10,0,0,0,3,1,2,33,29,4,44,40,4,29,29,0,9,9,0,2,2,0,3,3,0,0,0,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Total,North  & Middle Andaman,No travel,3844,2818,1026,3844,2818,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Rural,North  & Middle Andaman,All Modes,24685,19731,4954,3693,2706,987,7100,5422,1678,7152,5842,1310,3547,2921,626,1968,1765,203,569,493,76,354,309,45,276,250,26,26,23,3,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Rural,North  & Middle Andaman,On foot,9577,7304,2273,0,0,0,5799,4364,1435,3041,2374,667,737,566,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Rural,North  & Middle Andaman,Bicycle,1505,1464,41,0,0,0,189,180,9,989,971,18,243,231,12,44,42,2,40,40,0,0,0,0,0,0,0,0,0,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Rural,North  & Middle Andaman,Moped/Scooter/Motor Cycle,2526,2275,251,0,0,0,697,597,100,980,865,115,429,406,23,270,264,6,67,65,2,39,38,1,33,30,3,11,10,1,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Rural,North  & Middle Andaman,Car/Jeep/Van,1103,775,328,0,0,0,158,108,50,388,254,134,319,222,97,146,112,34,24,20,4,36,29,7,30,28,2,2,2,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Rural,North  & Middle Andaman,Tempo/Autorickshaw/Taxi,663,449,214,0,0,0,110,56,54,373,249,124,102,77,25,40,34,6,14,13,1,11,9,2,12,10,2,1,1,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Rural,North  & Middle Andaman,Bus,4171,3344,827,0,0,0,107,80,27,1177,932,245,1329,1041,288,972,820,152,271,205,66,163,132,31,142,125,17,10,9,1,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Rural,North  & Middle Andaman,Train,15,14,1,0,0,0,3,3,0,5,5,0,3,3,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Rural,North  & Middle Andaman,Water transport,1313,1291,22,0,0,0,34,33,1,166,163,3,343,337,6,468,465,3,144,141,3,102,98,4,55,53,2,1,1,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Rural,North  & Middle Andaman,Any other,119,109,10,0,0,0,3,1,2,33,29,4,42,38,4,27,27,0,9,9,0,2,2,0,3,3,0,0,0,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Rural,North  & Middle Andaman,No travel,3693,2706,987,3693,2706,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Urban,North  & Middle Andaman,All Modes,992,756,236,151,112,39,244,186,58,80,65,15,442,334,108,34,29,5,6,3,3,16,10,6,18,16,2,1,1,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Urban,North  & Middle Andaman,On foot,278,213,65,0,0,0,215,164,51,28,22,6,35,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Urban,North  & Middle Andaman,Bicycle,28,25,3,0,0,0,7,7,0,8,8,0,13,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Urban,North  & Middle Andaman,Moped/Scooter/Motor Cycle,62,53,9,0,0,0,15,12,3,15,11,4,26,24,2,3,3,0,1,1,0,2,2,0,0,0,0,0,0,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Urban,North  & Middle Andaman,Car/Jeep/Van,21,14,7,0,0,0,1,1,0,4,3,1,11,8,3,4,1,3,0,0,0,0,0,0,1,1,0,0,0,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Urban,North  & Middle Andaman,Tempo/Autorickshaw/Taxi,8,5,3,0,0,0,1,1,0,0,0,0,6,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Urban,North  & Middle Andaman,Bus,437,327,110,0,0,0,5,1,4,25,21,4,348,258,90,25,23,2,5,2,3,12,7,5,16,14,2,1,1,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Urban,North  & Middle Andaman,Train,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Urban,North  & Middle Andaman,Water transport,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,12.65,92.89
ANDAMAN & NICOBAR ISLANDS,Urban,North  & Middle Andaman,Any other,4,4,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12.65,92.89
